State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response,
CT,6830,68,55,5,108,220,328,9,2,0,2,1,0,2,2,Yes,Chosen
NY,10128,101,51,5,96,218,314,9,2,1,3,1,1,1,0,No,Chosen
PA,15108,151,33,5,105,203,308,9,0,2,3,0,2,0,2,No,Chosen
NY,10532,105,39,5,103,202,305,9,2,1,2,1,0,2,1,No,Chosen
NJ,7456,74,23,5,113,192,305,9,0,0,5,0,1,1,2,No,Chosen
MD,20707,207,41,5,104,195,299,9,0,2,4,0,0,1,2,Yes,Chosen
NY,10504,105,45,5,103,193,296,9,3,0,1,1,2,1,1,No,Chosen
NJ,7043,70,55,5,104,191,295,9,2,0,1,3,0,1,2,No,Chosen
NY,11354,113,41,5,102,191,293,9,0,2,2,1,3,0,1,Yes,Chosen
MA,1854,18,37,5,102,185,287,9,1,2,3,0,0,1,2,No,Chosen
NY,11373,113,55,5,104,181,285,9,1,1,3,1,0,1,2,No,Chosen
NY,11758,117,49,5,93,191,284,9,2,2,4,0,0,0,1,No,Chosen
PA,16509,165,43,5,105,178,283,9,2,0,2,1,2,1,1,No,Chosen
NH,3854,38,47,5,112,168,280,9,1,1,0,1,0,2,4,Yes,Chosen
PA,19128,191,51,5,108,169,277,9,0,1,4,1,2,0,1,No,Chosen
PA,19002,190,37,5,99,173,272,9,2,3,0,3,0,1,0,No,Chosen
MD,21087,210,35,5,102,160,262,9,0,2,5,1,0,1,0,No,Chosen
NJ,7652,76,25,5,97,163,260,9,2,2,3,0,0,0,2,No,Chosen
CT,6082,60,35,5,103,150,253,9,1,1,2,2,1,1,1,No,Chosen
NJ,7901,79,51,5,93,158,251,9,2,2,3,1,0,1,0,No,Chosen
DE,19808,198,33,5,110,140,250,9,1,0,3,0,1,1,3,No,Chosen
NJ,7757,77,25,5,106,141,247,9,1,1,2,0,0,2,3,No,Chosen
NJ,8820,88,39,5,98,148,246,9,1,3,4,0,1,0,0,No,Chosen
NY,10467,104,47,5,98,148,246,9,3,1,2,1,0,1,1,No,Chosen
NJ,7010,70,35,5,108,121,229,9,4,0,0,1,2,1,1,No,Chosen
PA,17837,178,39,5,103,124,227,9,3,0,2,1,0,1,2,No,Chosen
NJ,7640,76,23,5,104,123,227,9,1,1,0,2,2,3,0,Yes,Chosen
VT,5822,58,43,5,101,125,226,9,4,1,2,0,1,0,1,No,Chosen
NY,11754,117,57,5,106,119,225,9,0,1,4,1,0,1,2,No,Chosen
NJ,8057,80,41,5,99,123,222,9,3,1,1,1,2,0,1,No,Chosen
MA,2178,21,35,5,100,120,220,9,3,1,1,1,1,1,1,No,Chosen
NJ,8088,80,33,5,109,102,211,9,2,0,2,0,1,2,2,No,Chosen
PA,19438,194,29,5,95,114,209,9,4,1,2,0,0,1,1,No,Chosen
NY,11375,113,47,5,104,91,195,9,3,0,3,1,0,1,1,No,Chosen
NJ,8817,88,29,5,107,80,187,9,1,1,2,0,2,1,2,No,Chosen
NY,14143,141,57,5,98,89,187,9,2,1,2,2,2,0,0,No,Chosen
NY,11937,119,25,5,108,77,185,9,1,1,2,0,1,2,2,Yes,Chosen
NY,11558,115,41,5,97,86,183,9,3,1,4,0,1,0,0,No,Chosen
PA,19464,194,51,5,103,79,182,9,0,1,2,2,3,1,0,No,Chosen
MA,2173,21,25,5,110,69,179,9,0,1,4,1,0,2,1,No,Chosen
NY,10704,107,55,5,99,77,176,9,3,1,3,0,2,0,0,No,Chosen
NY,11374,113,29,5,103,67,170,9,4,0,2,1,1,0,1,No,Chosen
NJ,8752,87,47,5,100,68,168,9,3,1,3,0,1,1,0,No,Chosen
NY,11433,114,45,5,110,56,166,9,0,0,4,0,1,3,1,No,Chosen
NY,14760,147,25,5,100,63,163,9,3,1,0,2,2,0,1,No,Chosen
NJ,7632,76,25,5,106,55,161,9,2,0,0,3,1,1,2,No,Chosen
PA,17057,170,55,5,102,56,158,9,1,2,1,1,1,0,3,Yes,Chosen
MD,20707,207,53,5,104,52,156,9,1,1,5,0,0,1,1,No,Chosen
CT,6880,68,45,5,97,57,154,9,1,2,2,3,0,0,1,No,Chosen
MA,1431,14,33,5,99,54,153,9,3,1,3,1,0,1,0,No,Chosen
NY,14720,147,33,5,100,37,137,9,4,0,1,1,0,2,1,No,Chosen
PA,19135,191,55,5,96,40,136,9,4,1,2,0,0,0,2,No,Chosen
NJ,7860,78,33,5,103,32,135,9,0,1,6,1,0,1,0,No,Chosen
NJ,8721,87,39,5,92,326,418,8,2,1,1,2,0,0,2,No,Chosen
NJ,7920,79,23,5,90,326,416,8,5,0,0,0,3,0,0,No,Chosen
NJ,8001,80,37,5,93,321,414,8,2,1,1,1,0,2,1,No,Chosen
NY,11598,115,23,5,97,314,411,8,1,0,6,0,0,0,1,No,Chosen
NH,3820,38,35,5,95,315,410,8,0,0,4,1,1,1,1,No,Chosen
NJ,8247,82,39,5,91,317,408,8,2,1,1,2,0,1,1,No,Chosen
CT,6078,60,41,5,92,314,406,8,3,0,1,1,1,0,2,No,Chosen
MD,21239,212,39,5,84,317,401,8,3,0,2,3,0,0,0,No,Chosen
NJ,7090,70,31,5,90,296,386,8,2,0,3,1,0,0,2,No,Chosen
NY,11764,117,39,5,88,294,382,8,4,1,2,0,0,1,0,No,Chosen
MD,21037,210,41,5,93,285,378,8,3,0,3,0,0,1,1,Yes,Chosen
PA,19348,193,37,5,88,281,369,8,1,2,0,3,1,1,0,Yes,Chosen
NJ,8904,89,49,5,92,273,365,8,1,1,2,2,0,0,2,No,Chosen
NJ,7960,79,33,5,95,269,364,8,3,0,1,0,0,2,2,No,Chosen
NY,10021,100,39,5,95,266,361,8,4,0,0,1,1,2,0,No,Chosen
PA,19063,190,23,5,90,269,359,8,2,0,1,3,0,1,1,No,Chosen
MD,21220,212,31,5,101,256,357,8,4,0,0,0,1,0,3,No,Chosen
CT,6457,64,35,5,96,254,350,8,1,0,2,1,1,2,1,No,Chosen
NJ,7018,70,37,5,94,251,345,8,1,1,1,2,0,1,2,No,Chosen
PA,19609,196,21,5,99,237,336,8,0,0,5,0,1,1,1,Yes,Chosen
PA,19320,193,43,5,97,231,328,8,2,1,0,0,2,1,2,No,Chosen
MD,21204,212,37,5,90,235,325,8,2,1,1,2,1,0,1,No,Chosen
NY,10010,100,27,5,85,238,323,8,2,0,2,3,1,0,0,No,Chosen
MA,1373,13,41,5,79,239,318,8,3,2,3,0,0,0,0,No,Chosen
MA,1581,15,31,5,85,232,317,8,3,2,1,0,1,0,1,No,Chosen
NJ,8054,80,27,5,86,231,317,8,1,1,4,0,2,0,0,No,Chosen
PA,19136,191,23,5,98,219,317,8,0,1,2,1,1,1,2,No,Chosen
PA,19610,196,49,5,85,229,314,8,2,1,3,1,0,0,1,No,Chosen
NY,10309,103,51,5,86,225,311,8,1,2,3,1,0,0,1,No,Chosen
PA,19064,190,33,5,96,215,311,8,1,0,1,2,0,1,3,No,Chosen
NY,11565,115,51,5,93,217,310,8,2,0,4,0,0,1,1,No,Chosen
NJ,7083,70,29,5,90,218,308,8,3,0,0,2,2,1,0,No,Chosen
NJ,7036,70,41,5,97,210,307,8,0,2,1,1,2,0,2,No,Chosen
PA,17566,175,47,5,85,220,305,8,3,1,2,1,0,0,1,No,Chosen
CT,6460,64,47,5,109,191,300,8,0,0,1,0,0,1,6,Yes,Chosen
NY,10541,105,21,5,92,204,296,8,1,0,4,1,0,0,2,No,Chosen
NY,10314,103,51,5,86,208,294,8,2,1,4,1,0,0,0,No,Chosen
DC,20003,200,49,5,96,198,294,8,0,1,1,3,0,2,1,Yes,Chosen
MA,2021,20,31,5,93,197,290,8,1,0,1,2,3,0,1,No,Chosen
NJ,7109,71,27,5,88,197,285,8,3,0,3,0,0,1,1,No,Chosen
PA,19061,190,25,5,85,197,282,8,5,0,2,1,0,0,0,No,Chosen
NY,11230,112,51,5,84,196,280,8,3,1,3,0,0,0,1,No,Chosen
MA,2345,23,45,5,82,196,278,8,2,3,2,0,0,1,0,No,Chosen
PA,18234,182,23,5,95,183,278,8,1,0,4,1,1,0,1,No,Chosen
NY,10024,100,49,5,90,180,270,8,3,0,2,1,0,0,2,No,Chosen
NY,10577,105,49,5,85,178,263,8,3,3,1,1,0,0,0,No,Chosen
NY,10029,100,31,5,91,169,260,8,2,0,4,0,1,1,0,No,Chosen
NH,3833,38,47,5,90,165,255,8,2,1,2,1,0,1,1,No,Chosen
NY,11030,110,29,5,94,161,255,8,2,1,1,0,2,0,2,Yes,Chosen
PA,19083,190,43,5,84,169,253,8,2,2,2,1,1,0,0,No,Chosen
NY,13460,134,27,5,91,157,248,8,1,1,2,2,0,1,1,No,Chosen
NY,11217,112,51,5,85,159,244,8,2,3,1,0,1,0,1,No,Chosen
MD,20785,207,45,5,84,159,243,8,3,1,2,0,2,0,0,No,Chosen
NY,11375,113,47,5,91,149,240,8,1,1,4,1,0,1,0,No,Chosen
NJ,8901,89,39,5,94,143,237,8,3,0,1,0,3,0,1,Yes,Chosen
PA,18944,189,31,5,89,146,235,8,4,0,1,0,1,0,2,No,Chosen
CT,6497,64,31,5,91,140,231,8,2,0,2,2,1,0,1,No,Chosen
NY,11717,117,23,5,83,147,230,8,3,4,1,0,0,0,0,No,Chosen
NJ,8087,80,35,5,89,138,227,8,3,1,0,2,0,1,1,Yes,Chosen
NY,10607,106,31,5,99,124,223,8,0,0,4,2,0,1,1,No,Chosen
NY,11577,115,31,5,87,136,223,8,2,0,4,0,0,2,0,No,Chosen
PA,19081,190,23,5,87,136,223,8,3,1,1,0,2,1,0,Yes,Chosen
PA,15217,152,41,5,85,137,222,8,3,1,1,2,0,1,0,No,Chosen
MA,2021,20,45,5,93,116,209,8,3,1,0,1,0,0,3,No,Chosen
NJ,8534,85,49,5,91,110,201,8,1,1,2,1,1,2,0,No,Chosen
PA,19382,193,39,5,96,103,199,8,1,1,0,2,1,1,2,Yes,Chosen
NJ,7751,77,31,5,81,116,197,8,4,1,1,1,1,0,0,No,Chosen
CT,6010,60,39,5,88,104,192,8,1,0,3,3,1,0,0,No,Chosen
NJ,8081,80,41,5,89,103,192,8,3,0,1,2,1,0,1,No,Chosen
NJ,7936,79,27,5,88,103,191,8,4,1,1,1,1,0,0,No,Chosen
NY,12550,125,35,5,94,91,185,8,2,0,3,0,0,0,3,No,Chosen
MA,1550,15,47,5,90,94,184,8,2,1,2,0,2,0,1,No,Chosen
PA,19064,190,31,5,92,83,175,8,3,0,0,2,1,1,1,Yes,Chosen
PA,18854,188,45,5,89,74,163,8,0,3,2,1,1,1,0,No,Chosen
NY,11050,110,37,5,105,54,159,8,0,0,4,0,0,1,3,No,Chosen
NY,12831,128,33,5,91,66,157,8,1,1,1,1,2,2,0,Yes,Chosen
NJ,7840,78,31,5,94,62,156,8,2,1,0,1,2,1,1,No,Chosen
CT,6010,60,31,5,93,63,156,8,1,2,1,0,2,1,1,No,Chosen
PA,19003,190,29,5,101,52,153,8,1,0,1,0,0,3,3,No,Chosen
MD,21043,210,25,5,97,52,149,8,0,1,3,0,1,1,2,No,Chosen
NJ,7940,79,39,5,87,60,147,8,3,0,2,1,1,1,0,No,Chosen
NJ,7016,70,37,5,94,50,144,8,1,0,2,2,1,1,1,No,Chosen
PA,19083,190,23,5,97,47,144,8,1,0,2,1,1,1,2,No,Chosen
MD,21222,212,41,5,86,56,142,8,1,3,2,0,1,1,0,No,Chosen
NJ,7735,77,37,5,94,45,139,8,1,2,0,1,2,1,1,No,Chosen
NY,11358,113,49,5,88,50,138,8,1,1,3,1,1,1,0,No,Chosen
NJ,8077,80,23,5,93,35,128,8,1,2,2,0,0,1,2,No,Chosen
PA,19064,190,29,5,86,34,120,8,1,2,1,1,3,0,0,No,Chosen
NJ,8857,88,23,5,88,315,403,7,0,0,2,2,0,1,2,No,Chosen
NJ,7005,70,43,5,81,320,401,7,2,0,2,1,0,1,1,No,Chosen
PA,19382,193,21,5,87,309,396,7,1,0,0,1,1,2,2,No,Chosen
MA,1945,19,29,5,79,315,394,7,3,0,1,1,0,1,1,No,Chosen
CT,6877,68,41,5,91,303,394,7,0,0,1,0,2,2,2,Yes,Chosen
RI,2860,28,19,5,81,311,392,7,3,0,1,0,0,2,1,Yes,Chosen
NJ,8034,80,35,5,79,310,389,7,4,0,2,0,0,1,0,No,Chosen
NY,10023,100,39,5,84,300,384,7,0,1,1,3,0,0,2,No,Chosen
NY,12144,121,21,5,78,304,382,7,1,0,3,1,2,0,0,No,Chosen
MA,2176,21,33,5,77,301,378,7,3,1,1,0,0,1,1,No,Chosen
NH,3076,30,45,5,81,295,376,7,1,0,1,3,1,0,1,No,Chosen
NJ,8882,88,25,5,79,294,373,7,3,0,1,1,0,1,1,No,Chosen
MD,20851,208,33,5,80,289,369,7,2,1,2,0,0,0,2,No,Chosen
CT,6611,66,33,5,81,277,358,7,0,1,3,1,1,0,1,No,Chosen
MA,1960,19,25,5,86,270,356,7,0,0,2,2,1,1,1,No,Chosen
CT,6422,64,21,5,72,278,350,7,2,1,3,0,1,0,0,No,Chosen
PA,17948,179,35,5,84,252,336,7,1,1,0,1,0,2,2,Yes,Chosen
MA,2402,24,45,5,84,250,334,7,0,0,3,1,1,2,0,No,Chosen
NJ,8034,80,27,5,84,249,333,7,4,0,1,0,0,0,2,No,Chosen
PA,18969,189,33,5,74,258,332,7,1,2,3,0,0,1,0,No,Chosen
NY,13033,130,33,5,81,250,331,7,2,0,2,1,0,1,1,No,Chosen
NJ,7656,76,23,5,79,252,331,7,1,0,3,2,0,0,1,No,Chosen
NJ,7719,77,31,5,82,241,323,7,2,0,2,1,0,0,2,No,Chosen
MD,21044,210,33,5,83,239,322,7,1,0,3,0,1,0,2,No,Chosen
NY,10016,100,23,5,77,241,318,7,3,1,1,0,0,1,1,Yes,Chosen
MA,2140,21,27,5,82,234,316,7,0,1,3,1,0,1,1,No,Chosen
NJ,8884,88,19,5,83,233,316,7,0,1,2,2,0,1,1,No,Chosen
PA,16601,166,23,5,79,233,312,7,2,1,2,0,0,1,1,Yes,Chosen
NY,11545,115,47,5,76,234,310,7,3,0,4,0,0,0,0,No,Chosen
NJ,7052,70,21,5,76,226,302,7,1,1,4,0,0,0,1,No,Chosen
NY,11580,115,43,5,75,220,295,7,3,1,1,1,0,0,1,No,Chosen
NY,11235,112,29,5,89,205,294,7,0,0,6,0,0,0,1,No,Chosen
NJ,8757,87,47,5,85,205,290,7,1,0,1,1,0,2,2,No,Chosen
NY,11561,115,31,5,82,203,285,7,0,1,3,0,1,2,0,Yes,Chosen
MD,21209,212,31,5,84,199,283,7,0,1,2,0,2,2,0,No,Chosen
NJ,8028,80,35,5,82,198,280,7,2,0,2,1,0,0,2,No,Chosen
MA,2093,20,23,5,74,204,278,7,2,1,2,2,0,0,0,No,Chosen
MD,21001,210,37,5,77,199,276,7,1,0,2,3,1,0,0,No,Chosen
NY,11722,117,19,5,85,185,270,7,0,1,1,2,0,2,1,Yes,Chosen
NY,12070,120,45,5,81,188,269,7,1,0,2,1,2,1,0,No,Chosen
PA,17315,173,27,5,74,194,268,7,1,2,3,0,0,1,0,Yes,Chosen
MD,21211,212,37,5,85,181,266,7,1,0,0,2,2,1,1,No,Chosen
NJ,7024,70,39,5,84,180,264,7,1,0,2,1,1,0,2,No,Chosen
MA,2148,21,37,5,79,181,260,7,1,0,5,1,0,0,0,No,Chosen
NY,10310,103,23,5,78,181,259,7,1,2,2,0,0,2,0,No,Chosen
MA,2375,23,23,5,87,171,258,7,3,0,0,0,0,1,3,No,Chosen
NY,14850,148,41,5,84,170,254,7,1,0,3,0,0,1,2,No,Chosen
NJ,7652,76,23,5,81,171,252,7,2,1,0,2,0,1,1,No,Chosen
NY,11793,117,39,5,81,170,251,7,3,0,0,1,1,1,1,No,Chosen
NJ,7081,70,27,5,75,175,250,7,2,0,4,0,0,0,1,No,Chosen
NH,3079,30,45,5,83,165,248,7,0,1,3,0,1,1,1,No,Chosen
NJ,7306,73,45,5,77,170,247,7,1,1,3,1,0,0,1,No,Chosen
CT,6457,64,33,5,82,163,245,7,2,0,2,1,0,0,2,No,Chosen
DE,19934,199,43,5,78,167,245,7,1,2,2,0,1,0,1,No,Chosen
MD,21043,210,29,5,84,159,243,7,1,0,1,0,3,1,1,No,Chosen
NY,10314,103,45,5,85,158,243,7,0,0,2,1,4,0,0,No,Chosen
NY,11364,113,27,5,73,168,241,7,1,1,4,1,0,0,0,No,Chosen
MD,21227,212,29,5,78,153,231,7,1,1,2,2,0,0,1,No,Chosen
NY,10011,100,29,5,85,146,231,7,2,1,0,0,1,1,2,No,Chosen
NJ,7208,72,21,5,87,142,229,7,2,0,1,0,0,2,2,Yes,Chosen
NJ,7726,77,27,5,79,149,228,7,1,1,1,2,1,0,1,No,Chosen
PA,17109,171,21,5,76,149,225,7,3,0,2,1,0,0,1,No,Chosen
NY,10036,100,39,5,80,145,225,7,2,0,4,0,0,0,1,No,Chosen
MD,20854,208,41,5,79,144,223,7,2,0,2,0,0,0,3,Yes,Chosen
NY,11754,117,27,5,78,137,215,7,3,0,2,0,0,1,1,No,Chosen
NJ,7070,70,19,5,81,134,215,7,2,2,0,0,0,2,1,No,Chosen
NJ,7632,76,39,5,80,134,214,7,4,0,1,0,2,0,0,No,Chosen
CT,6418,64,19,5,78,133,211,7,2,1,0,2,2,0,0,No,Chosen
DE,19950,199,45,5,81,124,205,7,1,1,2,0,1,1,1,Yes,Chosen
NY,11224,112,23,5,72,132,204,7,4,0,2,0,0,1,0,No,Chosen
NJ,8611,86,33,5,76,127,203,7,2,2,1,1,0,0,1,No,Chosen
NY,14006,140,19,5,77,123,200,7,1,1,2,1,2,0,0,No,Chosen
MA,1002,10,25,5,78,110,188,7,4,0,1,2,0,0,0,No,Chosen
NY,11694,116,19,5,69,115,184,7,2,2,3,0,0,0,0,No,Chosen
DE,19901,199,25,5,83,92,175,7,1,0,4,0,1,1,0,No,Chosen
NJ,8824,88,35,5,79,95,174,7,2,0,2,2,0,0,1,No,Chosen
PA,19151,191,43,5,73,96,169,7,3,1,2,0,0,1,0,No,Chosen
NJ,8008,80,35,5,83,86,169,7,2,0,1,1,1,1,1,Yes,Chosen
NJ,7701,77,45,5,83,79,162,7,2,0,2,0,1,0,2,No,Chosen
PA,15327,153,29,5,86,76,162,7,4,0,0,0,1,0,2,No,Chosen
MD,20817,208,29,5,81,77,158,7,2,0,1,2,1,0,1,Yes,Chosen
NY,10027,100,21,5,82,75,157,7,4,0,0,1,1,1,0,No,Chosen
NH,3032,30,29,5,84,70,154,7,0,0,2,2,2,1,0,No,Chosen
PA,19038,190,35,5,77,75,152,7,1,1,1,2,2,0,0,No,Chosen
NJ,8869,88,25,5,75,74,149,7,1,1,3,1,1,0,0,No,Chosen
NY,12835,128,25,5,74,73,147,7,2,2,2,0,0,1,0,No,Chosen
ME,4544,45,33,5,80,64,144,7,3,0,1,1,0,0,2,No,Chosen
NJ,7066,70,43,5,87,56,143,7,0,0,2,2,0,2,1,Yes,Chosen
MA,1570,15,23,5,80,60,140,7,1,1,3,0,0,0,2,No,Chosen
MD,21227,212,33,5,82,56,138,7,1,0,5,0,0,0,1,No,Chosen
NJ,8879,88,37,5,75,62,137,7,2,0,4,0,0,0,1,No,Chosen
PA,19014,190,39,5,83,54,137,7,0,1,3,0,0,3,0,Yes,Chosen
MD,21050,210,23,5,81,54,135,7,1,1,2,1,0,0,2,No,Chosen
NJ,7044,70,37,5,76,56,132,7,2,0,3,1,0,0,1,No,Chosen
PA,15146,151,29,5,82,49,131,7,2,0,1,0,0,1,3,No,Chosen
NJ,7008,70,47,5,80,37,117,7,2,1,1,1,0,1,1,No,Chosen
NY,11434,114,29,5,76,40,116,7,4,1,1,1,0,0,0,No,Chosen
PA,18505,185,35,5,72,42,114,7,2,0,4,1,0,0,0,No,Chosen
NH,3859,38,45,5,84,29,113,7,1,2,0,1,0,1,2,No,Chosen
MA,2146,21,41,5,75,35,110,7,1,2,3,0,0,0,1,No,Chosen
NY,10708,107,39,5,83,26,109,7,2,1,1,0,0,1,2,No,Chosen
NY,14526,145,17,5,71,312,383,6,1,0,1,2,0,1,1,No,Chosen
NH,3301,33,23,5,69,314,383,6,2,0,2,0,1,0,1,No,Chosen
MD,21206,212,35,5,70,309,379,6,2,1,1,0,0,0,2,No,Chosen
CT,6831,68,27,5,67,311,378,6,2,0,2,0,2,0,0,No,Chosen
NY,10704,107,31,5,74,296,370,6,0,0,2,2,0,1,1,Yes,Chosen
PA,19147,191,35,5,74,293,367,6,0,0,1,3,0,1,1,No,Chosen
NY,12208,122,17,5,60,304,364,6,2,1,3,0,0,0,0,No,Chosen
NJ,8109,81,35,5,73,288,361,6,1,0,2,0,0,2,1,Yes,Chosen
PA,19056,190,35,5,67,287,354,6,1,1,1,0,1,2,0,No,Chosen
CT,6249,62,37,5,68,284,352,6,4,0,0,2,0,0,0,No,Chosen
NY,11716,117,21,5,68,282,350,6,3,0,0,1,1,0,1,No,Chosen
NY,13420,134,23,5,69,278,347,6,1,0,2,2,0,0,1,No,Chosen
NH,3031,30,39,5,76,270,346,6,0,0,3,0,0,1,2,No,Chosen
NJ,7960,79,29,5,67,278,345,6,3,1,0,0,0,1,1,No,Chosen
NY,11207,112,21,5,65,280,345,6,1,1,2,1,1,0,0,No,Chosen
NY,11554,115,39,5,66,274,340,6,1,0,4,0,0,1,0,No,Chosen
NY,11213,112,25,5,67,272,339,6,1,1,1,1,0,0,2,No,Chosen
NJ,8857,88,39,5,65,274,339,6,3,0,2,0,0,0,1,No,Chosen
MA,1890,18,23,5,73,248,321,6,0,0,4,1,1,0,0,No,Chosen
NJ,7003,70,29,5,69,250,319,6,4,0,1,0,0,1,0,No,Chosen
VT,5251,52,31,5,75,239,314,6,0,1,1,1,1,1,1,Yes,Chosen
NJ,8210,82,39,5,68,240,308,6,1,1,2,0,1,0,1,No,Chosen
NJ,7731,77,23,5,72,234,306,6,0,0,3,0,2,1,0,Yes,Chosen
NY,11743,117,33,5,68,225,293,6,2,1,0,0,0,0,3,Yes,Chosen
MA,2154,21,41,5,71,219,290,6,1,0,0,2,0,3,0,No,Chosen
NY,11753,117,31,5,66,216,282,6,2,0,2,1,1,0,0,No,Chosen
NY,13031,130,25,5,63,219,282,6,2,2,1,0,1,0,0,No,Chosen
NJ,8107,81,29,5,68,209,277,6,1,0,3,0,1,1,0,No,Chosen
NJ,7719,77,27,5,67,196,263,6,1,2,1,1,0,0,1,No,Chosen
NY,11803,118,23,5,73,179,252,6,1,0,2,0,0,2,1,No,Chosen
MD,21157,211,21,5,72,177,249,6,2,0,1,0,1,1,1,Yes,Chosen
PA,19320,193,39,5,80,165,245,6,0,0,0,1,0,3,2,Yes,Chosen
PA,18509,185,25,5,70,173,243,6,3,0,0,1,0,0,2,No,Chosen
MA,2660,26,29,5,62,180,242,6,3,1,0,2,0,0,0,No,Chosen
NY,10023,100,33,5,68,166,234,6,1,1,2,0,1,0,1,No,Chosen
NJ,8840,88,39,5,75,156,231,6,0,0,2,1,1,1,1,No,Chosen
NY,11787,117,21,5,64,166,230,6,1,1,2,2,0,0,0,No,Chosen
NY,11733,117,23,5,67,159,226,6,2,1,0,2,0,1,0,No,Chosen
PA,16601,166,27,5,65,158,223,6,1,1,1,2,1,0,0,No,Chosen
NY,11418,114,35,5,69,153,222,6,1,0,3,0,0,2,0,No,Chosen
NJ,7627,76,39,5,68,153,221,6,2,0,2,1,0,0,1,No,Chosen
MA,2186,21,41,5,68,153,221,6,2,0,0,1,0,3,0,Yes,Chosen
NY,14618,146,27,5,67,151,218,6,0,2,3,0,0,0,1,Yes,Chosen
NY,11777,117,27,5,63,154,217,6,1,1,3,1,0,0,0,No,Chosen
NJ,7009,70,17,5,71,145,216,6,1,1,0,2,0,0,2,No,Chosen
NJ,8003,80,39,5,70,143,213,6,2,0,1,1,0,2,0,No,Chosen
NY,14207,142,29,5,72,134,206,6,0,2,1,1,0,1,1,No,Chosen
NJ,7424,74,25,5,73,129,202,6,1,0,0,1,1,1,2,No,Chosen
MD,20769,207,37,5,76,124,200,6,2,0,0,0,1,1,2,Yes,Chosen
PA,19096,190,39,5,65,132,197,6,1,0,4,0,1,0,0,No,Chosen
NY,14618,146,17,5,62,123,185,6,2,1,0,3,0,0,0,No,Chosen
NJ,7107,71,29,5,76,102,178,6,0,0,3,0,0,1,2,No,Chosen
MA,2193,21,37,5,69,107,176,6,2,0,1,2,0,0,1,No,Chosen
PA,18017,180,33,5,66,105,171,6,1,1,1,1,0,2,0,Yes,Chosen
NY,10536,105,35,5,64,101,165,6,2,0,3,0,0,1,0,No,Chosen
PA,18938,189,33,5,68,97,165,6,2,2,0,0,0,1,1,Yes,Chosen
NY,10707,107,33,5,71,94,165,6,2,0,2,0,0,0,2,No,Chosen
NY,12204,122,21,5,72,88,160,6,2,0,1,0,1,1,1,Yes,Chosen
PA,19082,190,17,5,68,92,160,6,1,1,1,0,1,0,2,Yes,Chosen
NY,10314,103,33,5,71,87,158,6,1,0,1,0,2,2,0,No,Chosen
PA,19014,190,19,5,67,88,155,6,2,1,1,1,0,0,1,No,Chosen
NY,14411,144,39,5,63,92,155,6,1,3,0,2,0,0,0,No,Chosen
NJ,8502,85,17,5,66,85,151,6,1,1,3,0,0,0,1,No,Chosen
NY,10302,103,31,5,71,75,146,6,1,0,2,0,0,0,3,No,Chosen
NY,11542,115,25,5,64,78,142,6,3,1,1,0,0,0,1,No,Chosen
NJ,7009,70,19,5,76,60,136,6,0,0,1,4,0,0,1,No,Chosen
PA,19608,196,23,5,63,72,135,6,3,0,2,0,1,0,0,No,Chosen
PA,15001,150,37,5,70,63,133,6,0,1,1,1,1,2,0,No,Chosen
NJ,7307,73,21,5,77,53,130,6,0,0,4,0,0,1,1,No,Chosen
NJ,8052,80,39,5,65,65,130,6,2,1,1,1,1,0,0,No,Chosen
PA,17978,179,33,5,68,61,129,6,3,0,0,1,1,0,1,No,Chosen
PA,19154,191,37,5,65,57,122,6,1,1,1,2,1,0,0,No,Chosen
NJ,7460,74,23,5,68,54,122,6,1,0,1,2,2,0,0,No,Chosen
NJ,7013,70,29,5,73,45,118,6,2,0,1,0,1,0,2,No,Chosen
NY,10310,103,29,5,64,51,115,6,1,2,1,2,0,0,0,No,Chosen
MD,20602,206,35,5,68,42,110,6,3,0,1,0,0,1,1,No,Chosen
PA,15425,154,33,5,73,31,104,6,0,0,2,2,0,2,0,No,Chosen
NY,10708,107,23,5,74,28,102,6,0,1,0,0,2,3,0,No,Chosen
NY,10541,105,23,5,69,32,101,6,1,2,0,0,0,0,3,No,Chosen
PA,19026,190,39,5,77,18,95,6,1,0,0,0,0,3,2,Yes,Chosen
MD,21220,212,33,5,63,311,374,5,1,0,1,1,0,1,1,No,Chosen
NJ,8096,80,23,5,60,307,367,5,1,0,2,0,0,1,1,No,Chosen
MD,21093,210,15,5,63,303,366,5,1,0,1,1,0,1,1,No,Chosen
NJ,8724,87,15,5,56,306,362,5,2,0,2,0,0,1,0,No,Chosen
NY,11236,112,33,5,55,305,360,5,3,0,1,0,0,0,1,No,Chosen
NY,10509,105,23,5,64,295,359,5,0,0,2,1,0,0,2,No,Chosen
MD,21234,212,15,5,63,290,353,5,0,0,3,0,0,0,2,No,Chosen
NH,3223,32,19,5,59,286,345,5,1,0,2,0,1,0,1,No,Chosen
PA,19464,194,27,5,53,285,338,5,1,1,1,2,0,0,0,No,Chosen
NY,11572,115,17,5,55,282,337,5,1,1,2,0,0,1,0,No,Chosen
